team1,team2,venue,toss_winner,toss_decision,winner,date
Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,South Africa,2012-09-22
Australia,West Indies,R Premadasa Stadium,West Indies,bat,Australia,2012-09-22
England,India,R Premadasa Stadium,England,field,India,2012-09-23
New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,bat,Pakistan,2012-09-23
Bangladesh,Pakistan,Pallekele International Cricket Stadium,Bangladesh,bat,Pakistan,2012-09-25
New Zealand,West Indies,Galle International Stadium,West Indies,field,West Indies,2012-09-26
Sri Lanka,South Africa,Galle International Stadium,South Africa,field,South Africa,2012-09-26
Australia,India,Galle International Stadium,India,bat,Australia,2012-09-27
England,Pakistan,Galle International Stadium,Pakistan,field,England,2012-09-27
England,West Indies,Pallekele International Cricket Stadium,West Indies,bat,West Indies,2012-09-27
Sri Lanka,West Indies,Galle International Stadium,West Indies,field,Sri Lanka,2012-09-28
New Zealand,South Africa,Galle International Stadium,South Africa,field,New Zealand,2012-09-28
Australia,India,R Premadasa Stadium,India,bat,Australia,2012-09-28
Pakistan,South Africa,R Premadasa Stadium,South Africa,bat,Pakistan,2012-09-28
England,India,Galle International Stadium,India,bat,England,2012-09-29
Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,Sri Lanka,2012-09-29
Australia,Pakistan,Galle International Stadium,Australia,bat,Australia,2012-09-29
England,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,England,2012-09-29
Sri Lanka,New Zealand,Galle International Stadium,Sri Lanka,bat,New Zealand,2012-09-30
South Africa,West Indies,Galle International Stadium,West Indies,field,West Indies,2012-09-30
Australia,South Africa,R Premadasa Stadium,Australia,field,Australia,2012-09-30
India,Pakistan,R Premadasa Stadium,Pakistan,bat,India,2012-09-30
Sri Lanka,England,Pallekele International Cricket Stadium,England,field,Sri Lanka,2012-10-01
Australia,England,Galle International Stadium,Australia,bat,England,2012-10-01
India,Pakistan,Galle International Stadium,Pakistan,bat,Pakistan,2012-10-01
Australia,Pakistan,R Premadasa Stadium,Australia,field,Pakistan,2012-10-02
India,South Africa,R Premadasa Stadium,South Africa,field,India,2012-10-02
Sri Lanka,India,Nondescripts Cricket Club Ground,Sri Lanka,bat,India,2012-10-03
England,New Zealand,R Premadasa Stadium,England,field,England,2012-10-04
Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,2012-10-04
Australia,West Indies,R Premadasa Stadium,Australia,bat,Australia,2012-10-05
Australia,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,2012-10-05
Australia,England,R Premadasa Stadium,England,field,Australia,2012-10-07
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,2012-10-07
India,Pakistan,Guanggong International Cricket Stadium,Pakistan,bat,India,2012-10-28
Bangladesh,Sri Lanka,Guanggong International Cricket Stadium,Sri Lanka,field,Bangladesh,2012-10-28
Bangladesh,Pakistan,Guanggong International Cricket Stadium,Pakistan,field,Pakistan,2012-10-30
India,Pakistan,Guanggong International Cricket Stadium,India,bat,India,2012-10-31
Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,bat,West Indies,2012-12-10
India,England,Subrata Roy Sahara Stadium,India,field,India,2012-12-20
South Africa,New Zealand,Kingsmead,New Zealand,bat,South Africa,2012-12-21
India,England,Wankhede Stadium,England,field,England,2012-12-22
South Africa,New Zealand,Buffalo Park,New Zealand,field,New Zealand,2012-12-23
India,Pakistan,M Chinnaswamy Stadium,Pakistan,field,Pakistan,2012-12-25
South Africa,New Zealand,St George's Park,South Africa,bat,South Africa,2012-12-26
India,Pakistan,"Sardar Patel Stadium, Motera",Pakistan,field,India,2012-12-28
West Indies,South Africa,"Beausejour Stadium, Gros Islet",South Africa,bat,West Indies,2013-01-19
West Indies,South Africa,"Beausejour Stadium, Gros Islet",West Indies,field,West Indies,2013-01-20
Australia,Sri Lanka,Stadium Australia,Australia,bat,Sri Lanka,2013-01-26
Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,Sri Lanka,2013-01-28
New Zealand,England,Eden Park,New Zealand,field,England,2013-02-09
New Zealand,England,Seddon Park,England,field,New Zealand,2013-02-12
Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat,West Indies,2013-02-13
New Zealand,England,Westpac Stadium,England,field,England,2013-02-15
West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",Zimbabwe,bat,West Indies,2013-03-02
West Indies,Zimbabwe,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,West Indies,2013-03-03
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,bat,West Indies,2013-03-03
South Africa,Pakistan,SuperSport Park,Pakistan,bat,Pakistan,2013-03-03
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,field,West Indies,2013-03-05
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,2013-03-08
Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,Canada,2013-03-15
Canada,Kenya,ICC Global Cricket Academy,Kenya,bat,Kenya,2013-03-16
Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Bangladesh,field,Sri Lanka,2013-03-31
Kenya,Netherlands,Wanderers Cricket Ground,Netherlands,bat,Kenya,2013-04-19
Kenya,Netherlands,Wanderers Cricket Ground,Kenya,field,Kenya,2013-04-20
Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,bat,Zimbabwe,2013-05-11
Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,bat,Bangladesh,2013-05-12
England,New Zealand,Kennington Oval,England,field,New Zealand,2013-06-25
England,Pakistan,Haslegrave Ground,England,bat,England,2013-07-05
England,Pakistan,Haslegrave Ground,Pakistan,bat,Pakistan,2013-07-05
Ireland,Pakistan,YMCA Cricket Club,Pakistan,bat,Pakistan,2013-07-16
West Indies,Pakistan,"Arnos Vale Ground, Kingstown",West Indies,bat,Pakistan,2013-07-27
West Indies,Pakistan,"Arnos Vale Ground, Kingstown",Pakistan,bat,Pakistan,2013-07-28
Ireland,Pakistan,YMCA Cricket Club,Pakistan,field,Pakistan,2013-07-29
Sri Lanka,South Africa,R Premadasa Stadium,South Africa,bat,South Africa,2013-08-02
Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,South Africa,2013-08-04
Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,Sri Lanka,2013-08-06
Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,2013-08-23
Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,2013-08-24
England,Australia,County Ground,England,bat,England,2013-08-27
