team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
Qatar,Oman,"West End Park International Cricket Stadium, Doha",Qatar,1,Oman,2026-02-13,92,0.41304347826086957,2,130,0.5153846153846153,3,1,9,28,0.5714285714285714,7,0.8571428571428571,1,0
Qatar,Oman,"West End Park International Cricket Stadium, Doha",Oman,0,Qatar,2026-02-14,93,0.40860215053763443,2,131,0.5190839694656488,4,1,10,29,0.5517241379310345,8,0.875,0,1
Thailand,Malaysia,"Terdthai Cricket Ground, Bangkok",Thailand,1,Thailand,2026-02-14,162,0.5493827160493827,0,180,0.5166666666666667,0,5,9,33,0.6666666666666666,9,0.8888888888888888,1,0
Ireland,Oman,"Sinhalese Sports Club Ground, Colombo",Oman,0,Ireland,2026-02-14,263,0.49049429657794674,3,132,0.5151515151515151,3,4,2,0,0.0,1,0.0,0,1
New Zealand,South Africa,"Narendra Modi Stadium, Ahmedabad",South Africa,0,South Africa,2026-02-14,345,0.5449275362318841,2,345,0.5159420289855072,4,17,15,1,0.0,2,0.5,0,1
Scotland,England,"Eden Gardens, Kolkata",England,0,England,2026-02-14,163,0.5460122699386503,3,368,0.6385869565217391,4,0,1,2,0.5,1,0.0,0,1
Qatar,Bahrain,"West End Park International Cricket Stadium, Doha",Bahrain,0,Bahrain,2026-02-14,94,0.4148936170212766,3,126,0.5238095238095238,0,11,4,30,0.5666666666666667,17,0.47058823529411764,0,1
Qatar,Bahrain,"West End Park International Cricket Stadium, Doha",Qatar,1,Qatar,2026-02-15,95,0.4105263157894737,2,127,0.5275590551181102,1,11,5,31,0.5483870967741935,18,0.5,1,0
United States of America,Namibia,"MA Chidambaram Stadium, Chepauk, Chennai",United States of America,1,United States of America,2026-02-15,95,0.5157894736842106,2,183,0.5519125683060109,0,4,0,1,1.0,0,0.0,1,0
Nepal,West Indies,"Wankhede Stadium, Mumbai",West Indies,0,West Indies,2026-02-15,178,0.5898876404494382,1,344,0.45058139534883723,3,2,1,2,0.0,1,1.0,0,1
India,Pakistan,R Premadasa Stadium,Pakistan,0,India,2026-02-15,399,0.6541353383458647,4,406,0.5246305418719212,3,22,6,14,0.7142857142857143,7,0.7142857142857143,0,1
Australia,India,Sydney Cricket Ground,India,0,India,2026-02-15,350,0.6628571428571428,1,400,0.655,4,32,27,14,0.7142857142857143,6,0.6666666666666666,0,1
Australia,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,0,Sri Lanka,2026-02-16,351,0.6609686609686609,1,330,0.42424242424242425,2,23,10,4,0.25,22,0.5,0,1
Pakistan,South Africa,"Willowmoore Park, Benoni",Pakistan,1,Pakistan,2026-02-16,407,0.5233415233415234,2,346,0.5173410404624278,4,25,23,1,0.0,6,0.5,1,0
England,Italy,"Eden Gardens, Kolkata",England,1,England,2026-02-16,369,0.6395663956639567,4,62,0.6129032258064516,2,0,0,2,0.5,1,0.0,1,0
Canada,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",Canada,1,New Zealand,2026-02-17,93,0.5376344086021505,1,346,0.5433526011560693,2,0,0,0,0.0,1,1.0,1,0
Scotland,Nepal,"Wankhede Stadium, Mumbai",Nepal,0,Nepal,2026-02-17,164,0.5426829268292683,2,179,0.5865921787709497,1,2,1,0,0.0,3,0.0,0,1
India,Netherlands,"Narendra Modi Stadium, Ahmedabad",India,1,India,2026-02-18,401,0.655860349127182,5,195,0.5487179487179488,1,1,0,2,1.0,0,0.0,1,0
United Arab Emirates,South Africa,"Arun Jaitley Stadium, Delhi",South Africa,0,South Africa,2026-02-18,221,0.6063348416289592,2,347,0.515850144092219,4,0,0,1,1.0,1,1.0,0,1
Pakistan,Namibia,"Sinhalese Sports Club Ground, Colombo",Pakistan,1,Pakistan,2026-02-18,408,0.5245098039215687,2,184,0.5489130434782609,0,1,0,2,1.0,0,0.0,1,0
Sri Lanka,Zimbabwe,R Premadasa Stadium,Sri Lanka,1,Zimbabwe,2026-02-19,331,0.4259818731117825,3,233,0.4678111587982833,2,7,3,39,0.2564102564102564,4,0.5,1,0
West Indies,Italy,"Eden Gardens, Kolkata",Italy,0,West Indies,2026-02-19,345,0.45217391304347826,4,63,0.6031746031746031,2,0,0,4,0.25,2,0.0,0,1
Australia,India,"Manuka Oval, Canberra",India,0,Australia,2026-02-19,352,0.6590909090909091,1,402,0.6567164179104478,5,32,28,5,0.6,0,0.0,0,1
Oman,Australia,Pallekele International Cricket Stadium,Australia,0,Australia,2026-02-20,133,0.5112781954887218,2,353,0.660056657223796,2,0,1,1,0.0,5,0.2,0,1
India,Australia,Adelaide Oval,India,1,India,2026-02-21,403,0.6550868486352357,4,354,0.6610169491525424,2,28,33,3,0.6666666666666666,9,0.5555555555555556,1,0
England,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,0,England,2026-02-22,370,0.6405405405405405,4,332,0.4246987951807229,3,19,6,6,0.6666666666666666,23,0.5217391304347826,0,1
South Africa,India,"Narendra Modi Stadium, Ahmedabad",South Africa,1,South Africa,2026-02-22,348,0.5172413793103449,4,404,0.655940594059406,4,19,30,3,0.6666666666666666,3,1.0,1,0
West Indies,Zimbabwe,"Wankhede Stadium, Mumbai",Zimbabwe,0,West Indies,2026-02-23,346,0.45375722543352603,5,234,0.4700854700854701,3,3,1,2,1.0,0,0.0,0,1
Pakistan,England,Pallekele International Cricket Stadium,Pakistan,1,England,2026-02-24,409,0.5256723716381418,2,371,0.6415094339622641,4,10,36,2,1.0,7,0.7142857142857143,1,0
Japan,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,0,Japan,2026-02-25,85,0.5764705882352941,1,163,0.5521472392638037,1,2,1,5,0.4,34,0.6764705882352942,0,1
Kuwait,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,0,Hong Kong,2026-02-25,113,0.4778761061946903,3,184,0.5108695652173914,5,4,9,8,0.5,18,0.7777777777777778,0,1
New Zealand,Zimbabwe,"Seddon Park, Hamilton",Zimbabwe,0,New Zealand,2026-02-25,347,0.5446685878962536,3,235,0.46808510638297873,3,8,0,1,1.0,0,0.0,0,1
New Zealand,Sri Lanka,R Premadasa Stadium,Sri Lanka,0,New Zealand,2026-02-25,348,0.5459770114942529,3,333,0.42342342342342343,3,26,11,3,0.6666666666666666,40,0.25,0,1
Bhutan,Bahrain,"Terdthai Cricket Ground, Bangkok",Bhutan,1,Bahrain,2026-02-25,73,0.3424657534246575,2,128,0.5234375,1,1,5,10,0.2,2,0.0,1,0
India,Zimbabwe,"MA Chidambaram Stadium, Chepauk, Chennai",Zimbabwe,0,India,2026-02-26,405,0.654320987654321,3,236,0.4661016949152542,3,10,3,3,0.6666666666666666,0,0.0,0,1
Thailand,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,0,Thailand,2026-02-26,164,0.5487804878048781,1,74,0.33783783783783783,2,5,2,35,0.6571428571428571,11,0.18181818181818182,0,1
Bahrain,Japan,"Terdthai Cricket Ground, Bangkok",Bahrain,1,Japan,2026-02-26,129,0.5271317829457365,2,86,0.5813953488372093,2,0,0,3,0.3333333333333333,6,0.5,1,0
Hong Kong,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,0,Hong Kong,2026-02-26,185,0.5135135135135135,5,114,0.47368421052631576,2,10,4,19,0.7894736842105263,9,0.4444444444444444,0,1
West Indies,South Africa,"Narendra Modi Stadium, Ahmedabad",South Africa,0,South Africa,2026-02-26,347,0.4553314121037464,5,349,0.5186246418338109,4,24,23,0,0.0,4,0.75,0,1
Japan,Bhutan,"Terdthai Cricket Ground, Bangkok",Japan,1,Japan,2026-02-27,87,0.5862068965517241,2,75,0.3333333333333333,1,0,0,7,0.5714285714285714,12,0.16666666666666666,1,0
Bahrain,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,0,Bahrain,2026-02-27,130,0.5230769230769231,2,165,0.5515151515151515,2,1,1,4,0.25,36,0.6666666666666666,0,1
New Zealand,England,R Premadasa Stadium,New Zealand,1,England,2026-02-27,349,0.5472779369627507,4,372,0.6424731182795699,4,13,38,4,0.75,4,0.5,1,0
New Zealand,Zimbabwe,"Seddon Park, Hamilton",New Zealand,1,New Zealand,2026-02-27,350,0.5457142857142857,3,237,0.4641350210970464,2,9,0,2,1.0,1,0.0,1,0
Pakistan,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,0,Pakistan,2026-02-28,410,0.524390243902439,2,334,0.4221556886227545,2,26,17,3,0.6666666666666666,24,0.5,0,1
Bhutan,Thailand,"Terdthai Cricket Ground, Bangkok",Bhutan,1,Bhutan,2026-02-28,76,0.32894736842105265,1,166,0.5481927710843374,2,2,6,13,0.15384615384615385,37,0.6486486486486487,1,0
West Indies,India,"Eden Gardens, Kolkata",India,0,India,2026-03-01,348,0.4540229885057471,4,406,0.6551724137931034,3,12,30,5,0.4,5,1.0,0,1
Zimbabwe,South Africa,"Arun Jaitley Stadium, Delhi",Zimbabwe,1,South Africa,2026-03-01,238,0.46218487394957986,1,350,0.52,4,0,7,0,0.0,2,1.0,1,0
Zimbabwe,New Zealand,"Seddon Park, Hamilton",Zimbabwe,1,New Zealand,2026-03-01,239,0.4602510460251046,0,351,0.5470085470085471,4,0,10,2,0.0,3,1.0,1,0
West Indies,Sri Lanka,"National Cricket Stadium, St George's, Grenada",Sri Lanka,0,Sri Lanka,2026-03-01,349,0.45272206303724927,3,335,0.4208955223880597,1,18,13,7,0.42857142857142855,0,0.0,0,1
Hong Kong,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,0,Kuwait,2026-03-01,186,0.5161290322580645,5,115,0.46956521739130436,1,11,4,20,0.8,10,0.4,0,1
West Indies,Sri Lanka,"National Cricket Stadium, St George's, Grenada",Sri Lanka,0,Sri Lanka,2026-03-03,350,0.4514285714285714,2,336,0.4226190476190476,1,18,14,8,0.375,1,1.0,0,1
South Africa,New Zealand,"Eden Gardens, Kolkata",New Zealand,0,New Zealand,2026-03-04,351,0.5213675213675214,4,352,0.5482954545454546,4,16,17,0,0.0,1,0.0,0,1
India,England,"Wankhede Stadium, Mumbai",England,0,India,2026-03-05,407,0.6560196560196561,3,373,0.6434316353887399,5,26,33,6,0.6666666666666666,6,0.5,0,1
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Malaysia,1,Malaysia,2026-03-07,181,0.5138121546961326,0,131,0.5267175572519084,3,5,5,43,0.6046511627906976,14,0.7142857142857143,1,0
Bahrain,Malaysia,"Bayuemas Oval, Kuala Lumpur",Bahrain,1,Bahrain,2026-03-08,132,0.5227272727272727,2,182,0.5164835164835165,1,5,6,15,0.6666666666666666,44,0.6136363636363636,1,0
Mexico,Suriname,"Jimmy Powell Oval, Cayman Islands",Suriname,0,Mexico,2026-03-08,20,0.5,2,8,0.25,2,1,0,0,0.0,0,0.0,0,1
Argentina,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Argentina,1,Cayman Islands,2026-03-08,38,0.39473684210526316,2,35,0.4,2,0,2,0,0.0,5,0.2,1,0
India,New Zealand,"Narendra Modi Stadium, Ahmedabad",New Zealand,0,India,2026-03-08,408,0.6568627450980392,4,353,0.5495750708215298,4,18,17,4,0.75,2,0.0,0,1
Argentina,Suriname,"Jimmy Powell Oval, Cayman Islands",Argentina,1,Argentina,2026-03-09,39,0.38461538461538464,2,9,0.2222222222222222,1,1,0,1,0.0,1,0.0,1,0
Mexico,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Mexico,1,Cayman Islands,2026-03-09,21,0.5238095238095238,3,36,0.4166666666666667,3,0,1,1,1.0,6,0.3333333333333333,1,0
Lesotho,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Botswana,0,Botswana,2026-03-09,29,0.10344827586206896,1,97,0.35051546391752575,0,0,5,6,0.0,21,0.47619047619047616,0,1
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Malaysia,1,Bahrain,2026-03-10,183,0.5136612021857924,1,133,0.5263157894736842,3,6,6,45,0.6,16,0.6875,1,0
Lesotho,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Lesotho,1,Botswana,2026-03-10,30,0.1,1,98,0.35714285714285715,1,0,6,7,0.0,22,0.5,1,0
Suriname,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,0,Cayman Islands,2026-03-11,10,0.2,1,37,0.43243243243243246,4,1,0,2,0.0,7,0.42857142857142855,0,1
Argentina,Mexico,"Jimmy Powell Oval, Cayman Islands",Mexico,0,Argentina,2026-03-11,40,0.4,3,22,0.5,3,3,0,2,0.5,2,0.5,0,1
Suriname,Argentina,"Jimmy Powell Oval, Cayman Islands",Suriname,1,Argentina,2026-03-12,11,0.18181818181818182,1,41,0.4146341463414634,4,0,2,3,0.0,3,0.6666666666666666,1,0
Cayman Islands,Mexico,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,1,Cayman Islands,2026-03-12,38,0.4473684210526316,5,23,0.4782608695652174,2,2,0,8,0.5,3,0.3333333333333333,1,0
Botswana,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Botswana,1,Botswana,2026-03-12,99,0.36363636363636365,2,31,0.0967741935483871,1,7,0,23,0.5217391304347826,8,0.0,1,0
Botswana,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Botswana,1,Botswana,2026-03-13,100,0.37,3,32,0.09375,1,8,0,24,0.5416666666666666,9,0.0,1,0
Argentina,Mexico,"Jimmy Powell Oval, Cayman Islands",Argentina,1,Argentina,2026-03-14,42,0.42857142857142855,4,24,0.4583333333333333,1,4,0,4,0.75,4,0.25,1,0
Suriname,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Suriname,1,Cayman Islands,2026-03-14,12,0.16666666666666666,1,39,0.46153846153846156,5,1,1,4,0.0,9,0.5555555555555556,1,0
Cyprus,Austria,Happy Valley Ground 2,Austria,0,Cyprus,2026-03-14,41,0.7073170731707317,5,73,0.6575342465753424,3,0,0,5,1.0,0,0.0,0,1
Mexico,Suriname,"Jimmy Powell Oval, Cayman Islands",Suriname,0,Suriname,2026-03-15,25,0.44,1,13,0.15384615384615385,0,2,0,5,0.2,5,0.0,0,1
Argentina,Cayman Islands,"Jimmy Powell Oval, Cayman Islands",Argentina,1,Cayman Islands,2026-03-15,43,0.4418604651162791,4,40,0.475,5,0,3,5,0.8,10,0.6,1,0
New Zealand,South Africa,"Bay Oval, Mount Maunganui",New Zealand,1,South Africa,2026-03-15,354,0.5480225988700564,3,352,0.5198863636363636,4,18,16,8,0.5,0,0.0,1,0
Botswana,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Botswana,1,Botswana,2026-03-15,101,0.37623762376237624,4,33,0.09090909090909091,1,9,0,25,0.56,10,0.0,1,0
New Zealand,South Africa,"Bay Oval, Mount Maunganui",New Zealand,1,New Zealand,2026-03-15,355,0.5464788732394367,3,353,0.5212464589235127,4,18,17,9,0.4444444444444444,1,1.0,1,0
Cyprus,Austria,Happy Valley Ground 2,Cyprus,1,Austria,2026-03-16,42,0.7142857142857143,5,74,0.6486486486486487,3,1,0,6,1.0,1,0.0,1,0
South Africa,New Zealand,"Seddon Park, Hamilton",South Africa,1,South Africa,2026-03-17,354,0.519774011299435,3,356,0.547752808988764,3,17,19,0,0.0,4,1.0,1,0
New Zealand,South Africa,"Seddon Park, Hamilton",South Africa,0,New Zealand,2026-03-17,357,0.5462184873949579,2,355,0.5211267605633803,3,19,18,5,0.8,1,1.0,0,1
Australia,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",Australia,1,Australia,2026-03-19,355,0.6591549295774648,2,351,0.45014245014245013,1,26,13,0,0.0,3,0.0,1,0
Rwanda,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,1,Rwanda,2026-03-20,159,0.4528301886792453,2,38,0.34210526315789475,3,5,3,9,0.4444444444444444,8,0.25,1,0
South Africa,New Zealand,"Eden Park, Auckland",South Africa,1,New Zealand,2026-03-20,356,0.5196629213483146,2,358,0.547486033519553,2,18,20,0,0.0,7,0.2857142857142857,1,0
South Africa,New Zealand,"Eden Park, Auckland",New Zealand,0,New Zealand,2026-03-20,357,0.5182072829131653,2,359,0.5487465181058496,3,18,21,1,0.0,8,0.375,0,1
Australia,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",Australia,1,Australia,2026-03-21,356,0.6601123595505618,3,352,0.44886363636363635,0,27,13,1,1.0,4,0.0,1,0
South Africa,New Zealand,"Sky Stadium, Wellington",South Africa,1,South Africa,2026-03-22,358,0.5167597765363129,1,360,0.55,4,18,22,0,0.0,3,0.3333333333333333,1,0
Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,1,Nigeria,2026-03-22,128,0.5078125,4,39,0.3333333333333333,2,5,0,11,1.0,9,0.2222222222222222,1,0
South Africa,New Zealand,"Sky Stadium, Wellington",South Africa,1,New Zealand,2026-03-22,359,0.5181058495821727,2,361,0.5484764542936288,3,19,22,1,1.0,4,0.25,1,0
Australia,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,0,Australia,2026-03-23,357,0.6610644257703081,4,353,0.4475920679886686,0,28,13,2,1.0,5,0.0,0,1
Seychelles,Ghana,"Achimota Senior Secondary School B Field, Accra",Ghana,0,Ghana,2026-03-24,12,0.16666666666666666,0,40,0.325,2,0,1,0,0.0,2,0.0,0,1
Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,1,Rwanda,2026-03-24,129,0.5116279069767442,5,160,0.45625,2,11,7,12,1.0,10,0.5,1,0
Malawi,Tanzania,"Achimota Senior Secondary School A Field, Accra",Tanzania,0,Tanzania,2026-03-24,60,0.35,2,115,0.591304347826087,0,0,3,0,0.0,3,0.3333333333333333,0,1
Eswatini,St Helena,"Achimota Senior Secondary School A Field, Accra",Eswatini,1,Eswatini,2026-03-24,33,0.18181818181818182,3,8,0.25,1,1,0,0,0.0,0,0.0,1,0
South Africa,New Zealand,"Hagley Oval, Christchurch",New Zealand,0,South Africa,2026-03-25,360,0.5166666666666667,1,362,0.5497237569060773,4,19,23,0,0.0,12,0.5833333333333334,0,1
St Helena,Seychelles,"Achimota Senior Secondary School A Field, Accra",Seychelles,0,Seychelles,2026-03-25,9,0.2222222222222222,1,13,0.15384615384615385,0,0,0,1,0.0,0,0.0,0,1
Tanzania,Eswatini,"Achimota Senior Secondary School B Field, Accra",Eswatini,0,Tanzania,2026-03-25,116,0.5948275862068966,1,34,0.20588235294117646,4,2,0,2,0.5,0,0.0,0,1
Malawi,Ghana,"Achimota Senior Secondary School A Field, Accra",Ghana,0,Ghana,2026-03-25,61,0.3442622950819672,2,41,0.34146341463414637,2,1,1,1,0.0,1,0.0,0,1
New Zealand,South Africa,"Hagley Oval, Christchurch",South Africa,0,New Zealand,2026-03-25,363,0.5482093663911846,3,361,0.518005540166205,2,23,20,13,0.5384615384615384,1,1.0,0,1
Tanzania,Seychelles,"Achimota Senior Secondary School B Field, Accra",Tanzania,1,Tanzania,2026-03-27,117,0.5982905982905983,2,14,0.21428571428571427,1,0,0,3,0.6666666666666666,1,0.0,1,0
St Helena,Ghana,"Achimota Senior Secondary School A Field, Accra",Ghana,0,Ghana,2026-03-27,10,0.2,1,42,0.35714285714285715,3,0,0,2,0.0,2,0.5,0,1
Eswatini,Malawi,"Achimota Senior Secondary School B Field, Accra",Eswatini,1,Malawi,2026-03-27,35,0.2,4,62,0.3387096774193548,1,0,0,1,0.0,0,0.0,1,0
Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,1,Nigeria,2026-03-28,130,0.5076923076923077,4,161,0.45962732919254656,3,11,8,13,0.9230769230769231,11,0.5454545454545454,1,0
Tanzania,St Helena,"Achimota Senior Secondary School B Field, Accra",Tanzania,1,Tanzania,2026-03-28,118,0.6016949152542372,3,11,0.18181818181818182,1,0,0,4,0.75,0,0.0,1,0
Seychelles,Malawi,"Achimota Senior Secondary School A Field, Accra",Malawi,0,Malawi,2026-03-28,15,0.2,1,63,0.3492063492063492,2,0,1,1,1.0,2,0.0,0,1
Ghana,Eswatini,"Achimota Senior Secondary School B Field, Accra",Ghana,1,Ghana,2026-03-28,43,0.37209302325581395,3,36,0.19444444444444445,3,0,0,3,0.3333333333333333,2,0.0,1,0
Mexico,Costa Rica,"Reforma Athletic Club, Naucalpan",Mexico,1,Mexico,2026-04-02,26,0.4230769230769231,0,10,0.2,1,6,1,2,1.0,2,0.0,1,0
Costa Rica,Brazil,"Reforma Athletic Club, Naucalpan",Costa Rica,1,Brazil,2026-04-03,11,0.18181818181818182,1,36,0.4166666666666667,3,0,0,3,0.0,1,1.0,1,0
Mexico,Brazil,"Reforma Athletic Club, Naucalpan",Brazil,0,Mexico,2026-04-03,27,0.4444444444444444,1,37,0.43243243243243246,3,1,1,3,1.0,2,1.0,0,1
Cyprus,Greece,Happy Valley Ground 2,Cyprus,1,Cyprus,2026-04-03,43,0.6976744186046512,4,29,0.2413793103448276,2,1,0,7,0.8571428571428571,0,0.0,1,0
Cyprus,Greece,Happy Valley Ground 2,Cyprus,1,Cyprus,2026-04-03,44,0.7045454545454546,4,30,0.23333333333333334,2,2,0,8,0.875,1,0.0,1,0
Cyprus,Greece,Happy Valley Ground 2,Cyprus,1,Cyprus,2026-04-04,45,0.7111111111111111,4,31,0.22580645161290322,2,3,0,9,0.8888888888888888,2,0.0,1,0
Brazil,Costa Rica,"Reforma Athletic Club, Naucalpan",Costa Rica,0,Brazil,2026-04-04,38,0.42105263157894735,2,12,0.16666666666666666,1,1,0,3,0.6666666666666666,4,0.0,0,1
Costa Rica,Mexico,"Reforma Athletic Club, Naucalpan",Costa Rica,1,Mexico,2026-04-04,13,0.15384615384615385,1,28,0.4642857142857143,2,1,7,5,0.0,4,1.0,1,0
France,Portugal,Santarem Cricket Ground,France,1,Portugal,2026-04-05,52,0.36538461538461536,1,33,0.696969696969697,4,0,0,0,0.0,9,0.7777777777777778,1,0
Norway,France,Santarem Cricket Ground,Norway,1,Norway,2026-04-05,61,0.4918032786885246,3,53,0.3584905660377358,1,2,2,6,0.3333333333333333,1,0.0,1,0
Cyprus,Greece,Happy Valley Ground 2,Cyprus,1,Cyprus,2026-04-05,46,0.717391304347826,4,32,0.21875,1,4,0,10,0.9,3,0.0,1,0
Cyprus,Greece,Happy Valley Ground 2,Cyprus,1,Greece,2026-04-05,47,0.723404255319149,4,33,0.21212121212121213,0,5,0,11,0.9090909090909091,4,0.0,1,0
Mexico,Brazil,"Reforma Athletic Club, Naucalpan",Mexico,1,Brazil,2026-04-05,29,0.4827586206896552,3,39,0.4358974358974359,2,2,1,5,1.0,4,0.75,1,0
Portugal,Norway,Santarem Cricket Ground,Portugal,1,Portugal,2026-04-06,34,0.7058823529411765,4,62,0.5,4,4,2,10,0.8,7,0.42857142857142855,1,0
Botswana,Lesotho,"Botswana Cricket Association Oval 2, Gaborone",Lesotho,0,Botswana,2026-04-06,102,0.38235294117647056,5,34,0.08823529411764706,0,10,0,6,1.0,8,0.125,0,1
Portugal,France,Santarem Cricket Ground,Portugal,1,Portugal,2026-04-06,35,0.7142857142857143,4,54,0.35185185185185186,1,1,0,11,0.8181818181818182,2,0.0,1,0
Brazil,Botswana,"Botswana Cricket Association Oval 1, Gaborone",Brazil,1,Brazil,2026-04-06,40,0.45,3,103,0.3883495145631068,5,0,0,0,0.0,26,0.5769230769230769,1,0
Lesotho,Malawi,"Botswana Cricket Association Oval 2, Gaborone",Malawi,0,Malawi,2026-04-06,35,0.08571428571428572,0,64,0.359375,3,0,4,9,0.1111111111111111,2,0.5,0,1
Mozambique,Zambia,"Botswana Cricket Association Oval 1, Gaborone",Zambia,0,Mozambique,2026-04-06,52,0.34615384615384615,1,10,0.4,3,0,0,14,0.2857142857142857,0,0.0,0,1
Zambia,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Lesotho,0,Lesotho,2026-04-07,11,0.36363636363636365,2,36,0.08333333333333333,0,0,0,1,0.0,11,0.0,0,1
Mozambique,Brazil,"Botswana Cricket Association Oval 2, Gaborone",Mozambique,1,Brazil,2026-04-07,53,0.3584905660377358,1,41,0.4634146341463415,4,0,0,11,0.45454545454545453,0,0.0,1,0
France,Norway,Santarem Cricket Ground,Norway,0,France,2026-04-07,55,0.34545454545454546,1,63,0.49206349206349204,3,2,3,3,0.0,8,0.375,0,1
Mozambique,Botswana,"Botswana Cricket Association Oval 2, Gaborone",Botswana,0,Mozambique,2026-04-07,54,0.35185185185185186,1,104,0.38461538461538464,4,0,9,12,0.4166666666666667,7,1.0,0,1
Indonesia,Sweden,Udayana Cricket Ground,Sweden,0,Sweden,2026-04-07,125,0.592,5,45,0.4444444444444444,3,0,0,76,0.6710526315789473,0,0.0,0,1
Brazil,Malawi,"Botswana Cricket Association Oval 1, Gaborone",Malawi,0,Brazil,2026-04-07,42,0.47619047619047616,4,65,0.36923076923076925,3,1,0,1,1.0,6,0.3333333333333333,0,1
Indonesia,Sweden,Udayana Cricket Ground,Indonesia,1,Sweden,2026-04-07,126,0.5873015873015873,4,46,0.45652173913043476,4,0,1,77,0.6623376623376623,1,1.0,1,0
Botswana,Malawi,"Botswana Cricket Association Oval 1, Gaborone",Malawi,0,Botswana,2026-04-08,105,0.38095238095238093,3,66,0.36363636363636365,3,3,1,27,0.5555555555555556,7,0.2857142857142857,0,1
Portugal,Norway,Santarem Cricket Ground,Portugal,1,Portugal,2026-04-08,36,0.7222222222222222,4,64,0.484375,3,5,2,12,0.8333333333333334,9,0.3333333333333333,1,0
Portugal,France,Santarem Cricket Ground,Portugal,1,France,2026-04-08,37,0.7297297297297297,4,56,0.35714285714285715,2,2,0,13,0.8461538461538461,4,0.25,1,0
Brazil,Zambia,"Botswana Cricket Association Oval 2, Gaborone",Brazil,1,Brazil,2026-04-08,43,0.4883720930232558,5,12,0.3333333333333333,1,0,0,1,1.0,0,0.0,1,0
Botswana,Zambia,"Botswana Cricket Association Oval 2, Gaborone",Botswana,1,Botswana,2026-04-08,106,0.3867924528301887,3,13,0.3076923076923077,1,0,0,8,0.875,1,0.0,1,0
Mozambique,Lesotho,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,1,Mozambique,2026-04-08,55,0.36363636363636365,2,37,0.10810810810810811,1,4,0,15,0.3333333333333333,12,0.08333333333333333,1,0
Indonesia,Sweden,Udayana Cricket Ground,Sweden,0,Sweden,2026-04-09,127,0.5826771653543307,3,47,0.46808510638297873,4,0,2,78,0.6538461538461539,2,1.0,0,1
Sweden,Indonesia,Udayana Cricket Ground,Sweden,1,Sweden,2026-04-09,48,0.4791666666666667,4,128,0.578125,2,3,0,3,1.0,79,0.6455696202531646,1,0
Brazil,Lesotho,"Botswana Cricket Association Oval 2, Gaborone",Brazil,1,Brazil,2026-04-09,44,0.5,5,38,0.10526315789473684,1,0,0,2,1.0,10,0.1,1,0
Mozambique,Malawi,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,1,Malawi,2026-04-09,56,0.375,3,67,0.3582089552238806,3,0,0,16,0.375,8,0.25,1,0
Zambia,Malawi,"Botswana Cricket Association Oval 1, Gaborone",Zambia,1,Malawi,2026-04-09,14,0.2857142857142857,1,68,0.36764705882352944,3,0,0,2,0.0,9,0.3333333333333333,1,0
Portugal,France,Santarem Cricket Ground,France,0,Portugal,2026-04-09,38,0.7105263157894737,4,57,0.3684210526315789,2,2,1,14,0.7857142857142857,5,0.4,0,1
