team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
England,Australia,County Ground,Australia,1,Australia,2009-06-25,21,0.42857142857142855,3,24,0.4583333333333333,0,2,2,1,0.0,0,0.0,0,1
West Indies,Bangladesh,"Warner Park, Basseterre",Bangladesh,1,West Indies,2009-08-02,15,0.4666666666666667,2,11,0.18181818181818182,0,0,1,0,0.0,0,0.0,0,1
Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,1,Pakistan,2009-08-12,18,0.6666666666666666,4,20,0.8,4,2,3,1,0.0,0,0.0,0,1
Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,1,New Zealand,2009-09-02,19,0.631578947368421,3,25,0.44,2,3,1,2,0.0,0,0.0,0,1
Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,1,New Zealand,2009-09-04,20,0.6,2,26,0.46153846153846156,3,3,2,3,0.0,1,1.0,0,1
South Africa,West Indies,Boland Bank Park,South Africa,0,West Indies,2009-10-28,23,0.6521739130434783,4,16,0.5,3,3,1,0,0.0,0,0.0,1,0
New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,0,Pakistan,2009-11-12,27,0.48148148148148145,3,21,0.8095238095238095,5,0,2,0,0.0,1,1.0,1,0
New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,1,Pakistan,2009-11-13,28,0.4642857142857143,3,22,0.8181818181818182,5,0,3,1,0.0,2,1.0,0,1
South Africa,England,New Wanderers Stadium,South Africa,0,England,2009-11-13,24,0.625,3,22,0.4090909090909091,2,2,0,8,0.75,0,0.0,1,0
South Africa,England,SuperSport Park,South Africa,1,South Africa,2009-11-15,25,0.6,2,23,0.43478260869565216,3,2,1,1,1.0,0,0.0,1,0
